# https://www.accuweather.com/en/us/raleigh/27601/september-weather/329823
date,weather,average temp,clothing
2022-09-10,rain,76,"ts-01,jeans-01,shoes-01,jacket-01"
2022-09-11,cloudy,79.5,"ts-02,jeans-01,shoes-01,jacket-01"
2022-09-12,sunny,77.5,"ts-02,shorts-01,shoes-01,shorts-02"
2022-09-13,rainy,77.5,"dress-01,shoes-01"
?2022-09-14,sunny,70.5,"dress-01,shoes-01"
2022-09-15,sunny,77.5,"skirt-01,ts-04,shoes-01"
2022-09-16,sunny,70.5,"romper-01,shoes-01"
